raw_token,real_estate_type
can-ho-chung-cu-mini,căn hộ chung cư mini
cho-thue-can-ho-chung-cu,cho thuê căn hộ chung cư
can-ho-chung-cu,căn hộ chung cư
ban-nha-biet-thu-lien-ke,nhà biệt thự liền kề
nha-rieng,nhà riêng
ban-nha-mat-pho,nhà mặt phố
ban-shophouse-nha-pho-thuong-mai,shophouse nhà phố thương mại
ban-condotel,condotel
