wardId,lat,lng
14091,21.034736,105.8378366
27915,21.0046452,105.8495796
18443,21.0371784,105.8730678
14859,21.0333967,105.790872
11531,20.9173367,105.6999122
17419,21.0252277,105.8426071
23563,20.9971097,105.776198
10507,20.9778985,105.8260943
25099,21.0116389,105.8216911
26379,21.0879871,105.7806001
21259,20.9735181,105.7497878
14347,21.0253749,105.8143528
21771,20.9739247,105.776198
22027,21.0146466,105.8510475
31755,21.0336195,105.8495796
4363,20.9599571,105.8319653
25867,20.9766171,105.8701316
17163,21.0599765,105.8466437
20747,20.9906016,105.8143528
21515,20.9533613,105.7791327
24587,21.0063176,105.8319653
24843,21.0220022,105.8040796
4619,20.9825522,105.8947409
20491,21.0207339,105.8936224
15115,21.0438759,105.802612
14603,21.036409,105.8202234
24331,21.0229512,105.8246266
1035,21.0507453,105.7635836
21003,20.9428762,105.7673942
25611,21.0839577,105.8132581
12555,21.0416664,105.9171161
2571,20.9915513,105.8349009
28427,21.1458783,105.488828
32267,21.0506191,105.8231588
779,20.9993268,105.7527221
1291,21.0584058,105.7409852
5131,20.9669968,105.8178728
28171,20.9975091,105.802612
1547,21.0963665,105.7380511
26123,21.0214051,105.7644596
2827,21.1137371,105.4953088
4875,20.9872609,105.8495796
25355,21.0173505,105.8378366
12811,21.0659641,105.9053689
18187,20.9897062,105.884813
16907,20.9971763,105.8671954
1803,21.0674246,105.7974668
2059,21.0373236,105.7475612
24075,21.0154525,105.7967419
17675,20.9308715,105.7409852
32011,20.954555,105.8583873
18956,10.7539509,106.6718702
25356,10.8481608,106.6674484
25100,10.8388893,106.6379724
11020,10.7830453,106.7367328
23820,10.7341196,106.6114474
24332,10.8417318,106.685136
12556,10.9471021,106.7422144
22284,10.8596614,106.7057733
34060,10.4965975,107.1779936
2572,10.7697993,106.680714
26636,10.793368,106.6482886
14348,11.1977549,106.6173415
7948,10.7744331,106.6954544
40460,11.1459404,106.7588494
3084,10.7036977,106.6202887
41484,11.0625332,106.6880841
11788,10.9019561,106.7293611
18188,10.8026884,106.6026064
23052,10.8231261,106.7013508
9228,10.7414815,106.6261831
23564,10.825006,106.7411559
4876,10.7924374,106.590819
32268,10.7499612,106.645341
22796,10.8135113,106.702825
8716,10.7622937,106.6438673
19468,10.7419558,106.6423935
5132,10.7639086,106.6143944
10764,10.7910232,106.7647475
32012,10.7685952,106.7765443
6412,10.7994275,106.68661
7436,10.7611456,106.6895581
15628,11.0163622,106.635025
4108,10.7440193,106.67924
42252,11.1950701,106.6645007
19212,10.754497,106.6583414
18700,10.7561874,106.680714
16908,10.9006383,106.7529514
8204,10.7680489,106.6630268
42764,10.8984062,106.770738
21260,10.8368594,106.627434
25612,10.8039194,106.67924
22540,10.7971708,106.702825
24588,10.8314858,106.6733441
24076,10.8199368,106.685136
10252,10.8372101,106.7175669
21004,10.76902,106.645341
8460,10.7773359,106.6674484
41996,11.0805871,106.6586052
1036,10.7603346,106.7042991
12300,10.9141778,106.7057733
10508,10.8695092,106.773595
4364,10.8582049,106.8296372
34316,10.4870712,107.1543601
13836,11.2219941,106.5617846
31500,10.8075496,106.8591387
31756,10.7941763,106.8060388
20748,10.7552446,106.6482886
1001,10.8230989,106.6296638
18444,10.786461,106.6748181
11276,11.0517801,106.5878723
3852,10.7197053,106.6261831
19724,10.7520489,106.6320777
17420,10.9809629,106.682188
34828,10.5833237,107.072273
6156,10.7946309,106.6748181
6924,10.7741557,106.6261831
8972,10.7685346,106.6541837
32780,10.7863307,106.6276567
3340,10.7300962,106.7432912
31244,10.8204813,106.773595
33804,10.4214457,107.1661766
12812,10.389342,107.1100534
7692,10.8230989,106.6296638
30988,10.8678055,106.7308354
34572,10.5112095,107.2075388
33548,10.3603867,107.0952864
6668,10.8004207,106.6438673
7180,10.7909325,106.6925062
17164,10.9211242,106.7765443
35596,10.4998649,107.1004359
41740,11.0598663,106.7352584
26380,11.0270305,106.7142027
19980,10.7411524,106.6960384
14860,10.993026,106.7588494
3596,10.7193362,106.7323097
33036,10.777513,106.6394461
35340,10.5573341,107.0598491
32524,10.8193278,106.6468148
25868,10.803289,106.6659746
26124,10.8010524,106.6571314
9484,10.8013933,106.6261831
13580,10.7562851,106.592422
35084,10.6452896,107.1366365
21772,10.8770496,106.6379724
20236,10.7494287,106.7293611
15116,11.099536,106.8060388
4620,10.8435123,106.8001396
16140,11.1606413,106.4994889
9740,10.8126149,106.6202887
23308,10.7965194,106.7146184
22028,10.8834303,106.6703963
15884,11.1044443,106.6232359
24844,10.8433627,106.6556575
12044,10.9713673,106.6586052
9996,10.8378053,106.7559004
43020,10.948222,106.682188
11532,10.9571535,106.7175669
21516,10.854891,106.6149418
780,10.7553772,106.6954544
42508,11.1049057,106.71167
40204,10.3393897,107.0834734
20492,10.767563,106.6718702
524,10.7584055,106.7146184
2828,10.7814834,106.6910322
20493,16.0678823,108.2324036
20237,16.0287361,108.1725154
11277,15.8993072,108.2318208
2317,15.6183382,108.48102
21773,16.0076662,108.1873407
10765,15.8736374,108.2674092
11533,15.9362772,108.1962362
11021,15.9352177,108.273341
19469,16.0785429,108.2169934
781,16.1532005,107.9768875
19725,16.0472002,108.2199588
21261,16.0554759,108.1250791
22029,15.9866003,108.2021667
12301,15.8684775,108.3267319
12557,15.8766567,108.3623306
12813,15.8920839,108.3148665
2061,15.5466923,108.495859
21517,16.087358,108.0835783
21005,16.0050583,108.2496145
1805,15.5988765,108.5106987
20749,16.1159837,108.273341
24077,15.5594862,108.4780523
19981,16.0693143,108.193271
6684,11.9360685,109.1047663
2332,11.9478235,109.2474701
3356,12.3242061,109.1761126
796,11.5867115,108.9398233
6428,11.9084146,109.1493564
