districtId,lat,lng
53,10.8230989,106.6296638
62,10.8230989,106.6296638
63,10.8230989,106.6296638
64,10.865126,106.6745776
54,10.7935216,106.7308195
55,10.7833121,106.6714905
56,10.8230989,106.6296638
57,10.8230989,106.6296638
58,10.8230989,106.6296638
59,10.8230989,106.6296638
60,10.7397192,106.6619867
61,10.8450844,106.7866577
85,10.8142824,105.0732771
86,10.5492338,105.2311827
87,9.9198876,105.1843801
88,10.5423179,105.3716684
90,10.5883342,105.3248269
92,10.2437897,105.2311827
93,10.6055072,104.9739333
89,10.4179596,105.0089888
730,14.058324,108.277199
716,11.2853477,106.6173415
157,14.058324,108.277199
159,11.2833709,106.8414374
145,13.8860211,109.1077389
147,13.8860211,109.1077389
149,14.0075158,109.0809868
150,14.058324,108.277199
151,13.871801,108.9739954
152,13.8384307,109.1820586
153,20.3186276,106.458256
154,14.1042718,108.7779168
104,21.2847676,106.2169139
105,21.2847676,106.2169139
106,21.3100556,106.4288088
107,21.290734,106.1960168
108,21.3364329,106.8532381
109,21.2847676,106.2169139
110,21.2847676,106.2169139
111,21.1921595,106.2169139
112,21.2847676,106.2169139
114,22.1435635,105.8240602
115,22.1073899,105.8642593
116,22.2487991,105.6060661
117,21.879665,105.7776653
118,22.1073899,105.8642593
119,22.443331,105.981739
120,22.1073899,105.8642593
122,9.2861871,105.7057792
124,9.2734758,105.629523
125,9.2861871,105.7057792
126,9.2861871,105.7057792
127,9.2861871,105.7057792
129,21.0555507,106.1933837
130,21.035323,106.2227968
131,21.1504557,106.1698563
132,21.0490218,106.0816536
133,21.1600765,106.0111203
135,21.1941429,105.9582372
165,11.7986378,107.2075388
166,11.5099618,106.9004472
699,12.141976,107.172085
167,11.4258058,106.6527099
168,11.5099618,106.9004472
698,11.5099618,106.9004472
169,11.8317793,106.6645007
728,11.6595648,106.8989446
172,21.7273575,105.2311827
173,10.533333,108.95
174,11.1930533,107.5683516
175,10.7544882,107.6925674
176,11.1629283,108.1191501
177,10.8387457,107.9176312
178,11.0121921,107.7399345
179,21.7273575,105.2311827
137,10.016675,106.6883977
138,10.2384162,106.3287199
139,10.2384162,106.3287199
140,10.2384162,106.3287199
141,10.1751757,106.50538
705,10.2228971,106.3318771
706,10.2384162,106.3287199
143,10.2384162,106.3287199
192,22.9552763,105.6177942
193,22.8254437,105.5239912
194,22.6015053,106.6880841
195,22.851354,106.1816196
196,22.7691062,106.1933837
197,22.6518798,105.981739
198,22.5264681,106.5230542
199,22.7238727,106.4052541
200,22.492517,106.4052541
201,22.7908965,105.981739
202,22.7775464,106.3346061
203,22.8167736,106.5112712
183,8.902912599999999,105.0089888
184,8.9697142,105.2077798
185,8.8050786,105.044052
186,8.962409899999999,105.1258955
187,8.9412925,104.8571368
188,9.326831400000001,105.1492869
189,9.2885246,105.7272372
190,9.4251971,104.8688126
704,10.0324986,105.5591615
77,10.0608999,105.4185227
78,10.0108953,105.6705801
80,10.2221965,105.3980224
227,21.8091711,103.0817903
228,21.8091711,103.0817903
229,21.4832127,103.2086442
230,21.9752019,102.7594847
231,22.2128664,102.4151335
711,22.1686806,102.484638
232,21.8208601,103.3702811
233,21.6174389,103.4280586
205,12.8791607,107.71625
206,12.7100116,108.2377519
207,12.8763499,108.0717219
208,13.3602682,108.1191501
209,12.7575235,108.4988269
210,13.0635233,107.9294815
211,12.4501455,108.0124469
212,12.5000374,108.4038672
213,13.051579,108.2496145
214,12.9783558,108.3445308
215,12.6829199,108.308934
216,12.7100116,108.2377519
217,12.7962196,108.7244578
51,15.9783739,108.0361555
52,16.1032577,108.2818646
248,10.4337697,106.3287199
247,10.4422401,105.629523
722,10.8486265,105.3716684
250,10.256645,105.5932863
251,10.3574219,105.5826123
252,10.7423455,105.5239912
253,10.8669587,105.4419546
254,10.5790008,105.5122694
255,10.5187739,105.8407722
236,10.8123782,107.2548183
237,11.1218314,107.36123
238,10.7803103,106.9522606
239,10.745397,106.9004472
240,11.2804968,107.4440254
241,11.1009283,107.1602683
242,10.9782781,107.0185123
243,10.769325,106.955267
244,10.9346465,107.3967105
219,12.5921901,107.8702347
220,12.7100116,108.2377519
221,12.545896,107.7399345
222,12.7100116,108.2377519
223,13.6649124,108.7838572
224,12.2359793,108.2496145
225,12.1678375,107.4558555
259,14.14027,107.9650353
710,13.5259651,108.1310083
260,13.7143617,108.0657939
261,13.7499409,107.8880075
262,13.9712484,108.1310083
263,13.9538809,108.4988269
264,13.7442025,107.7399345
265,14.0085432,107.7873095
266,13.5249966,108.439474
267,14.1767032,108.4988269
268,13.6870013,108.4988269
269,14.2697266,108.4513438
270,14.0169366,108.2614775
271,13.5201802,108.3563972
322,20.8391132,105.3541013
323,20.8391132,105.3541013
324,20.8265768,105.3413377
326,14.058324,108.277199
327,20.4681511,105.7938069
328,20.8936703,105.5181302
329,20.8391132,105.3541013
330,20.5679413,105.336536
331,20.8391132,105.3541013
303,20.8732963,106.2227968
304,20.9670236,106.2110311
306,20.8768654,106.3051766
307,20.8844022,106.5230542
309,20.9902563,106.3287199
310,20.7416073,106.3875898
311,20.8873272,106.4346979
312,20.7732308,106.2404468
313,20.8109931,106.3875898
274,22.7615314,105.348246
275,22.4283166,104.8221147
276,23.2618157,105.336536
277,14.058324,108.277199
278,23.1724208,105.4185227
279,23.0302056,104.9739333
280,22.4626291,104.577181
281,22.7047393,104.9739333
282,22.7484908,104.5072722
283,23.1125179,105.1434387
315,9.949384499999999,105.8231588
316,14.058324,108.277199
317,9.704416,105.629523
318,9.8091981,105.6999122
319,14.058324,108.277199
18,21.0660371,105.348246
24,20.9173367,105.6999122
20,21.0882406,105.6705801
10,21.1104525,105.8642593
11,21.003538,105.9523622
21,21.0617296,105.7057792
17,21.1522787,105.7292491
29,20.6390947,105.6999122
27,20.7383765,105.9083056
19,21.1108475,105.5532993
22,21.0092597,105.6471178
12,21.2556659,105.8532494
23,21.0749441,105.5650239
25,20.8475182,105.7644596
13,20.9324904,105.8466437
26,20.8686746,105.8627913
28,20.6954929,105.8407722
285,14.058324,108.277199
286,20.6273234,106.0111203
287,20.5826827,105.8701316
288,14.058324,108.277199
289,20.4318754,105.9347384
38,20.8155911,106.5760857
39,20.1311435,107.7310526
40,20.7909692,106.9948945
41,20.7612017,106.6586052
43,20.7381794,106.5407299
44,20.6935344,106.480344
291,18.2327411,105.981739
292,18.5043119,105.7703287
293,18.4970845,105.5826123
294,18.1740222,105.5826123
295,18.5141214,105.4478131
296,18.1274912,106.2577146
297,18.4775011,105.8818766
298,18.600617,105.7233814
299,18.3872687,105.8583873
300,18.2904196,105.4302383
333,20.8267626,106.1051705
334,20.8211873,105.981739
335,20.8525711,106.0169971
337,20.7321947,106.1764841
338,20.6729045,106.140451
339,20.9119787,105.9406128
340,20.97392,106.0941178
341,20.883939,106.0522616
352,9.8043414,105.1025075
353,9.5940509,104.9622498
354,14.058324,108.277199
723,10.4377187,104.5888356
355,9.926319900000001,105.2306211
356,9.741151,105.3014109
357,10.1984516,104.9213643
358,9.8086251,104.6412925
359,10.2056169,104.6471221
361,14.058324,108.277199
362,9.5878628,105.1025075
363,9.4973093,105.1960795
343,12.0955342,109.1642208
344,12.2468822,109.1107114
345,12.0148485,108.9145675
346,12.1998585,108.9264524
348,12.2098868,109.0928764
349,12.7425738,109.1523292
366,14.3541816,108.0183739
367,14.3541816,108.0183739
368,14.626943,107.8458849
729,14.3541816,108.0183739
369,14.3541816,108.0183739
370,14.3541816,108.0183739
371,14.3541816,108.0183739
372,14.3541816,108.0183739
373,14.3541816,108.0183739
415,10.631643,106.493598
416,14.058324,108.277199
417,10.6048346,106.6880841
418,10.5292874,106.4255423
419,10.5547606,106.4052541
420,10.5547606,106.4052541
421,14.058324,108.277199
422,10.8399781,105.6471178
423,10.5547606,106.4052541
424,10.5547606,106.4052541
425,10.5547606,106.4052541
426,10.5547606,106.4052541
427,10.8937638,105.7703287
404,22.5367657,104.2904734
405,22.3860268,104.1349852
406,22.2149326,104.4839765
407,22.5165227,103.8448134
408,22.7611755,104.1117492
411,22.6765844,104.2744808
410,22.1192469,104.2512221
375,22.4761105,102.644587
709,22.1657235,103.0126523
376,22.5279421,103.3009828
377,22.3340121,103.2432632
378,22.3554825,103.2663479
691,22.2064133,103.7868526
379,21.9650203,103.8796018
381,11.6186666,107.8272883
382,11.5895156,107.3967105
383,11.4276294,107.5386809
384,11.5129011,107.485433
385,11.5752791,108.1428669
386,11.5747744,108.0657939
387,11.7414389,108.439474
388,11.6705209,108.3563972
389,12.2029451,108.5700636
390,37.5518911,126.9917937
393,21.9212162,106.3346061
394,21.9651138,106.3581527
395,21.9419939,106.8060388
396,21.5781568,106.5230542
397,21.6017414,107.0775671
398,21.5022303,106.3581527
399,21.7589587,106.9270066
400,22.2075557,106.4759262
401,22.0845838,106.5466221
402,21.8581308,106.4994889
440,18.8375139,104.9622498
441,19.0305272,104.8688126
442,18.9865497,105.6002024
443,18.8967529,105.2955575
444,18.6725877,105.6236585
445,19.0948225,105.6933121
446,18.7610633,105.4653897
447,18.7755391,105.6353878
448,19.3625626,105.4653897
449,19.648232,104.8337879
450,19.6058861,105.1960795
451,19.3171393,105.1843801
452,19.1338077,105.6353878
453,19.0465114,105.2692193
454,19.1483712,104.8454619
455,19.2539038,104.4024704
456,18.9965823,105.4829681
459,20.37529,105.8583873
460,20.2676067,105.9582372
461,20.0536547,106.0816536
462,20.3173952,105.7483206
463,20.189421,106.0522616
464,20.164322,106.0111203
430,20.2769279,106.4111425
431,20.4304038,106.1701758
432,20.4508038,106.1639749
433,20.3433475,106.199266
434,20.4392944,106.1590424
435,20.4508038,106.1639749
436,20.4508038,106.1639749
437,20.4508038,106.1639749
438,20.4508038,106.1639749
467,14.058324,108.277199
468,11.6545947,109.0809868
469,11.5338143,108.9383377
470,14.058324,108.277199
471,11.7551178,109.0746809
693,11.4182869,108.878915
473,21.4149682,105.0908147
474,21.6155274,105.1843801
475,21.5883567,105.0382076
476,21.2284279,105.1449008
477,21.4187615,105.3014109
478,21.2508911,105.2955575
479,21.2607386,104.9973028
480,21.5058045,105.1142011
481,21.1950802,105.2077798
482,21.1421734,105.2779983
483,21.3473647,105.0674317
487,14.058324,108.277199
488,13.0437749,109.3128909
489,14.058324,108.277199
490,13.1192956,108.9739954
492,12.8548468,108.9739954
493,14.058324,108.277199
494,21.2455127,104.6471221
496,17.5675915,106.3699271
497,14.058324,108.277199
498,17.8328675,105.9464874
499,21.0063632,107.2924288
500,17.7993446,106.4111425
501,17.7671779,106.1816196
503,14.058324,108.277199
504,15.904429,108.1072924
505,15.8736374,108.2674092
506,15.9097839,107.6452085
507,15.7833378,108.2021667
508,15.5698183,108.059866
509,14.058324,108.277199
510,15.113462,108.1310083
694,15.7031979,108.0835783
511,15.4269939,108.6769451
512,14.058324,108.277199
513,14.058324,108.277199
514,15.6705181,108.2021667
515,15.8310405,107.5031811
516,15.7259324,108.3445308
517,15.5005881,108.3445308
521,14.6564896,108.6413145
522,15.3207616,108.736337
524,15.383361,109.1107114
525,14.9251122,108.6413145
526,14.9416455,108.8432656
527,15.0648127,108.7779168
528,15.0429309,108.439474
529,14.9610539,108.3445308
530,15.1758951,108.7244578
531,15.1734012,108.3563972
532,15.2512645,108.4988269
533,15.0780673,108.8195012
535,21.2704979,107.2932396
536,21.5255564,107.36123
537,21.0064889,107.7458559
538,21.3286688,107.5860213
540,21.2432501,107.1957203
708,20.9386407,106.8473377
542,21.3719386,107.3967105
543,21.1467344,107.4558555
550,16.7420545,106.9358604
551,16.5635891,106.888644
552,17.1606501,107.3405354
553,16.9249546,107.0657549
554,16.6788318,107.2784615
555,16.6681282,107.1366365
556,16.7198958,107.1307289
557,17.0720315,106.947666
72,10.6694477,106.5996595
73,10.4413583,106.9004472
74,10.962533,106.5230542
75,10.8863934,106.5922924
76,10.6956633,106.7175669
569,21.2046431,104.4490398
570,21.1500235,104.1349852
571,20.8549989,104.6208904
572,21.5204211,104.0304535
573,21.2455127,104.6471221
574,21.6557828,103.6710059
575,21.056317,103.7549847
576,20.8585342,103.5668302
577,21.443667,103.6941672
726,20.7913894,104.9155243
578,21.0808714,104.262851
695,9.6220704,106.0052437
560,14.058324,108.277199
561,9.7690706,105.9758633
562,9.615844,106.0077048
563,9.6220704,106.0052437
564,9.6220704,106.0052437
565,9.5647447,105.5978281
566,9.6220704,106.0052437
707,9.5281639,106.1698563
567,9.3413311,106.0287512
589,20.5536668,106.3581527
590,20.4888186,106.3110622
591,20.3786731,106.4346979
592,19.110865,105.6999122
593,21.8001303,105.2604409
594,20.4470053,106.5642998
595,20.4522879,106.2698669
642,10.3529008,105.9993672
644,14.058324,108.277199
645,10.3532592,106.4670909
646,14.058324,108.277199
647,14.058324,108.277199
643,10.4012566,106.1169299
649,10.2347999,106.71167
648,14.058324,108.277199
606,20.3800656,105.2311827
607,20.2157225,105.5122694
608,19.8112898,105.6940454
609,19.9953606,105.8349009
610,19.9111352,105.8701316
611,19.8569794,105.8532494
612,20.15494,105.239197
613,20.5320209,104.5538744
614,19.9824567,105.9758633
615,20.090727,105.3702044
616,19.6574591,105.5357139
617,19.6384175,105.488828
618,19.6260207,105.629523
619,19.8259856,105.5943388
620,20.2574149,104.9418057
621,19.8259856,105.5943388
622,19.8259856,105.5943388
623,19.8997091,105.6764461
624,19.9312384,105.5181302
625,19.9077501,105.3248269
627,19.8365223,105.6060661
628,20.0429196,105.629523
629,19.9670959,105.6353878
597,21.5989975,105.6060661
598,21.9006926,105.6060661
599,21.6691416,105.8407722
601,21.4786103,105.9523622
602,21.7501222,105.7233814
603,21.7619324,106.0757749
580,11.1119602,106.1933837
581,11.3158906,106.0258126
582,11.389365,106.2345633
583,11.0848812,106.287521
584,11.2641882,106.1169299
585,11.5514124,105.993491
586,11.5546947,106.1786787
587,11.0346486,106.3552092
660,22.1644112,105.2779983
661,22.0703082,105.044052
712,22.5323993,105.1960795
662,22.3330236,105.336536
663,21.7119276,105.3950939
664,21.8523202,105.1375908
633,16.2921291,107.2377617
635,16.5033741,107.4676861
636,16.0416828,107.6925674
637,16.5111325,107.2429976
638,16.2714658,107.8840377
639,16.3859894,107.775465
640,16.5716569,107.532764
652,9.9024377,106.3404925
653,9.9024377,106.3404925
654,9.9024377,106.3404925
655,9.9024377,106.3404925
656,9.9024377,106.3404925
657,9.9024377,106.3404925
658,9.9513316,106.3346061
668,10.1920938,106.0124611
669,10.0861281,106.0169971
670,10.0501379,106.0006907
671,9.948252300000002,105.9582372
672,10.0722316,106.1875016
674,21.3059362,105.6296187
675,21.3141745,105.6119301
696,21.3273735,105.6015302
676,21.3141745,105.6119301
677,21.3141745,105.6119301
678,21.3142567,105.6118886
679,21.2583789,105.5884754
96,14.058324,108.277199
97,8.7009282,106.6114474
98,14.058324,108.277199
99,10.4665758,107.2311774
101,10.5514365,107.4558555
682,21.7175023,104.8980058
683,21.7175023,104.8980058
684,21.7167689,104.8985878
685,21.7175023,104.8980058
686,21.7002753,104.8752826
687,21.7175023,104.8980058
688,21.7175023,104.8980058
81,10.0725558,105.7409852
82,9.9847041,105.7644596
83,10.0354671,105.7791327
84,10.115935,105.629523
79,10.2903986,105.5064087
45,16.0076662,108.1873407
46,16.0785429,108.2169934
47,16.087358,108.0835783
48,16.0050583,108.2496145
49,16.1159837,108.273341
50,16.0693143,108.193271
2,21.034736,105.8378366
718,21.0214051,105.7644596
7,21.0333967,105.790872
3,21.0116389,105.8216911
15,20.9739247,105.776198
4,21.0146466,105.8510475
1,21.0336195,105.8495796
8,20.9766171,105.8701316
9,21.0207339,105.8936224
14,20.9998356,105.7480899
6,21.0506191,105.8231588
5,20.9975091,105.802612
37,20.8594817,106.5996595
30,20.7148231,106.7765443
31,20.7645427,106.7411559
32,20.8107387,106.7411559
33,20.8683599,106.6556575
34,20.8227321,106.6497623
35,20.8548368,106.6813411
36,20.8636563,106.702825
65,10.7924374,106.590819
66,10.8135113,106.702825
67,10.8314858,106.6733441
68,10.7946309,106.6748181
69,10.8004207,106.6438673
70,10.777513,106.6394461
667,10.2940251,105.981739
94,10.3706358,105.4243804
156,14.058324,108.277199
158,10.9006383,106.7529514
160,11.099536,106.8060388
163,10.9786982,106.6680949
161,14.058324,108.277199
155,13.7782174,109.2415233
113,21.2847676,106.2169139
121,22.1073899,105.8642593
128,9.2861871,105.7057792
136,21.121444,106.1110501
134,21.1066811,105.9641124
181,10.9281215,108.0983994
144,10.2384162,106.3287199
191,8.962409899999999,105.1258955
234,21.4258502,103.0472164
218,12.7131519,108.0361555
721,10.4422401,105.629523
249,10.8486265,105.3716684
257,10.3057678,105.7468535
245,10.9364413,106.8045949
246,10.9262271,107.2607289
272,14.0059487,108.042083
332,20.8391132,105.3541013
305,21.1071114,106.3169479
314,20.9454327,106.3434358
284,21.1665069,106.0232414
321,14.058324,108.277199
290,20.5308533,105.9288641
42,20.8911205,106.6880841
301,18.2459683,105.6881788
342,20.8525711,106.0169971
365,10.392522,104.5014479
360,10.289879,103.98402
364,9.966536999999999,105.1142011
351,11.9377636,109.158275
350,12.2409935,109.1963968
374,14.3541816,108.0183739
429,10.516389,106.4111425
414,22.4895917,104.0188436
392,11.3848277,107.8665322
391,11.5752791,108.1428669
403,21.8563705,106.6291304
457,19.1483712,104.8454619
465,20.2676067,105.9582372
439,20.4508038,106.1639749
472,11.6330949,108.9512856
485,21.3340031,105.4009508
495,13.0836818,109.295048
502,17.4663168,106.6173415
520,14.058324,108.277199
519,14.058324,108.277199
534,15.0759838,108.7125791
547,21.0091641,107.2843726
546,20.9417785,107.1277751
548,21.2432501,107.1957203
549,21.0226383,106.7588494
558,16.8046991,107.0716609
71,10.8378053,106.7559004
579,21.1724642,104.0072348
568,9.6220704,106.0052437
596,21.8001303,105.2604409
651,10.3506998,106.6703963
650,10.3527424,106.3728707
632,19.7585916,105.8936224
630,19.8259856,105.5943388
600,21.4286391,105.8701316
605,21.4540939,105.8466437
604,21.5613771,105.876004
588,11.3494766,106.0640179
665,22.1726708,105.3131185
641,16.4637117,107.5908628
659,9.9024377,106.3404925
673,10.0861281,106.0169971
681,21.2472792,105.7057792
680,21.3141745,105.6119301
103,10.4965975,107.1779936
100,10.5833237,107.072273
102,10.3393897,107.0834734
689,21.7175023,104.8980058
95,10.6862421,105.1142011
91,10.7992233,105.2435891
146,13.8860211,109.1077389
148,14.501076,109.0334318
123,9.2861871,105.7057792
164,11.6379094,106.5937658
171,11.5099618,106.9004472
170,11.810292,107.0185123
182,21.7273575,105.2311827
204,22.635689,106.2522143
235,22.0141446,103.1509672
697,12.8968152,108.2496145
226,12.0133492,107.63337
273,13.9954876,108.6769451
258,13.4089836,108.4335393
308,20.9777271,106.543676
320,9.8036391,105.8172881
731,9.704416,105.629523
16,21.1458783,105.488828
