so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
325,Lạng Giang,Bắc Giang,,,216996.0,2441.0,889.0,19.0
326,Lạng Sơn,Lạng Sơn,thành phố,,103284.0,779.0,1.326,8.0
327,Lào Cai,Lào Cai,thành phố,,130671.0,2821.0,463.0,17.0
328,Lập Thạch,Vĩnh Phúc,,,136150.0,1722.0,791.0,19.0
329,Lấp Vò,Đồng Tháp,,,180627.0,2460.0,734.0,13.0
330,Lê Chân,Hải Phòng,quận,,219762.0,119.0,18.467,7.0
331,Lệ Thủy,Quảng Bình,,,137831.0,14018.0,98.0,26.0
332,Liên Chiểu,Đà Nẵng,quận,,166832.0,809.0,2.06,5.0
333,Lộc Bình,Lạng Sơn,,,84740.0,9864.0,86.0,20.0
334,Lộc Ninh,Bình Phước,,,143185.0,85187.0,168.0,16.0
335,Long Biên,Hà Nội,quận,,322549.0,598.0,5.394,13.0
336,Long Đất,Bà Rịa – Vũng Tàu,,1975.0,209293.0,2665.0,2.139,11.0
337,Long Hồ,Vĩnh Long,,1977.0,167698.0,1963.0,854.0,14.0
338,Long Khánh,Đồng Nai,thành phố,,181596.0,19298.0,941.0,13.0
339,Long Mỹ,Hậu Giang,thị xã,,62339.0,1445.0,431.0,9.0
340,Long Mỹ,Hậu Giang,,1908.0,77346.0,2540.0,305.0,8.0
341,Long Phú,Sóc Trăng,,1926.0,94255.0,2637.0,357.0,11.0
342,Long Thành,Đồng Nai,,,285311.0,43062.0,663.0,14.0
343,Long Xuyên,An Giang,thành phố,,272365.0,1154.0,2.36,12.0
344,Lục Nam,Bắc Giang,,1957.0,226194.0,6086.0,372.0,24.0
345,Lục Ngạn,Bắc Giang,,,226540.0,10325.0,219.0,19.0
346,Lục Yên,Yên Bái,,,108817.0,8100.0,134.0,24.0
347,Lương Sơn,Hòa Bình,,,99457.0,3649.0,273.0,11.0
348,Lương Tài,Bắc Ninh,,,127291.0,1059.0,1.202,12.0
349,Lý Nhân,Hà Nam,,,195000.0,1688.0,1.155,21.0
350,Lý Sơn,Quảng Ngãi,huyện đảo,1993.0,22174.0,104.0,2.132,0.0
351,M'Drắk,Đắk Lắk,,1931.0,72153.0,13363.0,54.0,13.0
352,Mai Châu,Hòa Bình,,1956.0,55640.0,5698.0,98.0,16.0
353,Mai Sơn,Sơn La,,,163881.0,14267.0,115.0,22.0
354,Mang Thít,Vĩnh Long,,1981.0,96172.0,1625.0,592.0,12.0
355,Mang Yang,Gia Lai,,,68273.0,11272.0,61.0,12.0
356,Mê Linh,Hà Nội,,1977.0,240555.0,1425.0,1.688,17.0
357,Mèo Vạc,Hà Giang,,1962.0,86071.0,5742.0,150.0,18.0
358,Minh Hóa,Quảng Bình,,,50670.0,13938.0,36.0,13.0
359,Minh Long,Quảng Ngãi,,1915.0,18722.0,2172.0,86.0,5.0
360,Mỏ Cày Bắc,Bến Tre,,2009.0,113210.0,1652.0,685.0,13.0
361,Mỏ Cày Nam,Bến Tre,,2009.0,143577.0,2308.0,622.0,16.0
362,Mộ Đức,Quảng Ngãi,,1841.0,112592.0,2140.0,526.0,12.0
363,Mộc Châu,Sơn La,thị xã,,114460.0,10717.0,107.0,15.0
364,Mộc Hóa,Long An,,1976.0,28165.0,3000.0,94.0,7.0
365,Móng Cái,Quảng Ninh,thành phố,,108553.0,5196.0,209.0,16.0
366,Mù Cang Chải,Yên Bái,,1955.0,63961.0,11979.0,53.0,14.0
367,Mường Ảng,Điện Biên,,2006.0,48416.0,4435.0,109.0,10.0
368,Mường Chà,Điện Biên,,2005.0,48005.0,11994.0,40.0,12.0
369,Mường Khương,Lào Cai,,,63682.0,5561.0,115.0,16.0
370,Mường La,Sơn La,,,99534.0,14254.0,70.0,16.0
371,Mường Lát,Thanh Hóa,,1996.0,39948.0,8124.0,49.0,8.0
372,Mường Lay,Điện Biên,thị xã,,11162.0,1126.0,99.0,3.0
373,Mường Nhé,Điện Biên,,2002.0,45727.0,15737.0,29.0,11.0
374,Mường Tè,Lai Châu,,,46143.0,26793.0,17.0,14.0
375,Mỹ Đức,Hà Nội,,,199901.0,2263.0,883.0,20.0
376,Mỹ Hào,Hưng Yên,thị xã,,158673.0,794.0,1.998,13.0
377,Mỹ Tho,Tiền Giang,thành phố,,228109.0,823.0,2.772,14.0
378,Mỹ Tú,Sóc Trăng,,1976.0,90524.0,3682.0,246.0,10.0
379,Mỹ Xuyên,Sóc Trăng,,,150067.0,3737.0,402.0,11.0
380,Na Hang,Tuyên Quang,,1944.0,43248.0,8635.0,50.0,12.0
381,Na Rì,Bắc Kạn,,,38263.0,8530.0,45.0,17.0
382,Năm Căn,Cà Mau,,1956.0,56813.0,4828.0,118.0,8.0
383,Nam Đàn,Nghệ An,,1886.0,164634.0,2925.0,563.0,17.0
384,Nam Định,Nam Định,thành phố,,364181.0,1209.0,3.012,21.0
385,Nam Giang,Quảng Nam,,1999.0,26123.0,18466.0,14.0,12.0
386,Nậm Nhùn,Lai Châu,,2012.0,27261.0,13880.0,20.0,11.0
387,Nậm Pồ,Điện Biên,,2012.0,54908.0,14981.0,37.0,15.0
388,Nam Sách,Hải Dương,,,126325.0,1110.0,1.138,15.0
389,Nam Trà My,Quảng Nam,,2003.0,31306.0,8264.0,38.0,10.0
390,Nam Trực,Nam Định,,,183241.0,1639.0,1.118,18.0
391,Nam Từ Liêm,Hà Nội,quận,,269076.0,322.0,8.364,10.0
392,Ngã Bảy,Hậu Giang,thành phố,,101192.0,781.0,1.296,6.0
393,Ngã Năm,Sóc Trăng,thị xã,,74115.0,2422.0,306.0,8.0
394,Nga Sơn,Thanh Hóa,,,141114.0,1578.0,894.0,23.0
395,Ngân Sơn,Bắc Kạn,,,29269.0,6459.0,45.0,10.0
396,Nghi Lộc,Nghệ An,,1894.0,218005.0,3459.0,630.0,23.0
397,Nghi Sơn,Thanh Hóa,thị xã,,307304.0,4556.0,675.0,30.0
398,Nghi Xuân,Hà Tĩnh,,,102160.0,2225.0,459.0,17.0
399,Nghĩa Đàn,Nghệ An,,,140515.0,6178.0,227.0,20.0
400,Nghĩa Hành,Quảng Ngãi,,1890.0,82250.0,2344.0,351.0,12.0
401,Nghĩa Hưng,Nam Định,,,175786.0,2589.0,679.0,20.0
402,Nghĩa Lộ,Yên Bái,thị xã,,68206.0,1078.0,633.0,14.0
403,Ngô Quyền,Hải Phòng,quận,,165309.0,113.0,14.629,8.0
404,Ngọc Hiển,Cà Mau,,1984.0,66874.0,7086.0,94.0,7.0
405,Ngọc Hồi,Kon Tum,,1991.0,58913.0,8438.0,70.0,8.0
406,Ngọc Lặc,Thanh Hóa,,,136611.0,4910.0,278.0,21.0
407,Ngũ Hành Sơn,Đà Nẵng,quận,,90352.0,402.0,2.248,4.0
408,Nguyên Bình,Cao Bằng,,,39654.0,8380.0,47.0,17.0
409,Nhà Bè,Thành phố Hồ Chí Minh,,1975.0,206837.0,1004.0,2.06,7.0
410,Nha Trang,Khánh Hòa,thành phố,,422601.0,2543.0,1.66,22.0
411,Nho Quan,Ninh Bình,,1862.0,149830.0,4506.0,333.0,27.0
412,Nhơn Trạch,Đồng Nai,,1961.0,185041.0,37678.0,491.0,12.0
413,Như Thanh,Thanh Hóa,,1996.0,94906.0,5881.0,161.0,14.0
414,Như Xuân,Thanh Hóa,,,66240.0,7217.0,92.0,16.0
415,Ninh Giang,Hải Dương,,1822.0,146493.0,1368.0,1.071,16.0
416,Ninh Hải,Ninh Thuận,,,92231.0,2536.0,364.0,9.0
417,Ninh Hòa,Khánh Hòa,thị xã,,230049.0,11080.0,208.0,26.0
418,Ninh Kiều,Cần Thơ,quận,,280494.0,292.0,9.606,8.0
419,Ninh Phước,Ninh Thuận,,1981.0,128028.0,3420.0,374.0,9.0
420,Ninh Sơn,Ninh Thuận,,1981.0,71888.0,7718.0,93.0,8.0
421,Nông Cống,Thanh Hóa,,,182801.0,2851.0,641.0,29.0
422,Núi Thành,Quảng Nam,,1983.0,147721.0,5558.0,266.0,17.0
423,Ô Môn,Cần Thơ,quận,,128677.0,1319.0,976.0,7.0
424,Pác Nặm,Bắc Kạn,,2003.0,33439.0,4754.0,70.0,10.0
425,Phan Rang – Tháp Chàm,Ninh Thuận,thành phố,,167394.0,792.0,2.114,13.0
426,Phan Thiết,Bình Thuận,thành phố,,226736.0,2109.0,1.075,15.0
427,Phổ Yên,Thái Nguyên,thành phố,,196378.0,2589.0,759.0,18.0
428,Phong Điền,Cần Thơ,,2004.0,98424.0,1263.0,779.0,7.0
429,Phong Điền,Huế,thị xã,,87781.0,9482.0,93.0,12.0
430,Phong Thổ,Lai Châu,,,79645.0,10292.0,77.0,17.0
431,Phú Bình,Thái Nguyên,,,156804.0,2434.0,644.0,20.0
432,Phù Cát,Bình Định,,,183440.0,6807.0,269.0,18.0
433,Phù Cừ,Hưng Yên,,1842.0,79954.0,946.0,845.0,13.0
434,Phú Giáo,Bình Dương,,1959.0,89741.0,5444.0,165.0,11.0
435,Phú Hòa,Phú Yên,,2002.0,102074.0,2588.0,394.0,9.0
436,Phú Lộc,Huế,,,154146.0,13682.0,218.0,27.0
437,Phú Lương,Thái Nguyên,,,102292.0,3507.0,292.0,14.0
438,Phủ Lý,Hà Nam,thành phố,,158212.0,876.0,1.806,14.0
439,Phú Mỹ,Bà Rịa – Vũng Tàu,thị xã,,179786.0,3338.0,539.0,10.0
440,Phù Mỹ,Bình Định,,,161563.0,5559.0,291.0,19.0
441,Phú Nhuận,Thành phố Hồ Chí Minh,quận,,163961.0,49.0,33.461,11.0
442,Phú Ninh,Quảng Nam,,2005.0,77204.0,2557.0,302.0,10.0
443,Phù Ninh,Phú Thọ,,,111011.0,1574.0,705.0,17.0
444,Phú Quốc,Kiên Giang,thành phố,,179480.0,5893.0,305.0,9.0
445,Phú Quý,Bình Thuận,huyện đảo,1977.0,26918.0,179.0,1.504,3.0
446,Phú Riềng,Bình Phước,,2015.0,110946.0,67376.0,165.0,10.0
447,Phú Tân,An Giang,,1968.0,188951.0,3131.0,603.0,18.0
448,Phú Tân,Cà Mau,,1978.0,97703.0,4619.0,218.0,9.0
449,Phú Thiện,Gia Lai,,2007.0,78627.0,5052.0,156.0,10.0
450,Phú Thọ,Phú Thọ,thị xã,,70653.0,652.0,1.084,9.0
451,Phú Vang,Huế,,,137962.0,2354.0,646.0,14.0
452,Phú Xuân,Huế,quận,2025.0,203142.0,1270.0,1.599,13.0
453,Phú Xuyên,Hà Nội,,,213984.0,1714.0,1.248,23.0
454,Phù Yên,Sơn La,,1814.0,114974.0,12342.0,93.0,25.0
455,Phúc Thọ,Hà Nội,,1822.0,184024.0,1186.0,1.552,18.0
456,Phúc Yên,Vĩnh Phúc,thành phố,,106002.0,1201.0,883.0,9.0
457,Phụng Hiệp,Hậu Giang,,1917.0,188017.0,4837.0,389.0,15.0
458,Phước Long,Bình Phước,thị xã,,73043.0,11935.0,612.0,7.0
459,Phước Long,Bạc Liêu,,1920.0,124268.0,4162.0,299.0,8.0
460,Phước Sơn,Quảng Nam,,1948.0,26337.0,11533.0,23.0,12.0
461,Pleiku,Gia Lai,thành phố,,254802.0,2608.0,977.0,21.0
462,Quận 1,Thành phố Hồ Chí Minh,quận,,142625.0,77.0,18.523,10.0
463,Quận 3,Thành phố Hồ Chí Minh,quận,,190375.0,49.0,38.852,10.0
464,Quận 4,Thành phố Hồ Chí Minh,quận,,175329.0,42.0,41.745,10.0
465,Quận 5,Thành phố Hồ Chí Minh,quận,,159073.0,43.0,36.994,10.0
466,Quận 6,Thành phố Hồ Chí Minh,quận,,233561.0,72.0,32.439,10.0
467,Quận 7,Thành phố Hồ Chí Minh,quận,,360155.0,357.0,10.088,10.0
468,Quận 8,Thành phố Hồ Chí Minh,quận,,424667.0,192.0,22.118,10.0
469,Quận 10,Thành phố Hồ Chí Minh,quận,,234819.0,57.0,41.196,11.0
470,Quận 11,Thành phố Hồ Chí Minh,quận,,209867.0,51.0,41.15,10.0
471,Quận 12,Thành phố Hồ Chí Minh,quận,,620146.0,528.0,11.745,11.0
472,Quản Bạ,Hà Giang,,1962.0,53476.0,5422.0,99.0,13.0
473,Quan Hóa,Thanh Hóa,,,48856.0,9907.0,49.0,15.0
474,Quan Sơn,Thanh Hóa,,1996.0,40526.0,9266.0,44.0,12.0
475,Quang Bình,Hà Giang,,2003.0,61711.0,7918.0,78.0,15.0
476,Quảng Điền,Huế,,,77178.0,1631.0,473.0,11.0
477,Quảng Hòa,Cao Bằng,,1967.0,66620.0,6690.0,100.0,19.0
478,Quảng Ngãi,Quảng Ngãi,thành phố,,261417.0,1569.0,1.666,22.0
479,Quảng Ninh,Quảng Bình,,,90335.0,11942.0,76.0,14.0
480,Quảng Trạch,Quảng Bình,,,110380.0,4479.0,246.0,16.0
481,Quảng Trị,Quảng Trị,thị xã,,23356.0,729.0,320.0,5.0
482,Quảng Xương,Thanh Hóa,,,199943.0,1742.0,1.148,26.0
483,Quảng Yên,Quảng Ninh,thị xã,,145920.0,3018.0,483.0,19.0
484,Quế Phong,Nghệ An,,1963.0,71940.0,18909.0,38.0,13.0
485,Quế Sơn,Quảng Nam,,1836.0,107499.0,7289.0,371.0,18.0
486,Quế Võ,Bắc Ninh,thị xã,,213753.0,1551.0,1.378,20.0
487,Quốc Oai,Hà Nội,,1888.0,194412.0,1511.0,1.287,17.0
488,Quỳ Châu,Nghệ An,,1945.0,57813.0,10577.0,55.0,12.0
489,Quỳ Hợp,Nghệ An,,1963.0,134154.0,9427.0,142.0,21.0
490,Quy Nhơn,Bình Định,thành phố,,290053.0,2861.0,1.014,17.0
491,Quỳnh Lưu,Nghệ An,,,276259.0,4362.0,633.0,25.0
492,Quỳnh Nhai,Sơn La,,,64045.0,10560.0,61.0,11.0
493,Quỳnh Phụ,Thái Bình,,1969.0,240940.0,2100.0,1.147,35.0
494,Rạch Giá,Kiên Giang,thành phố,,227527.0,1036.0,2.196,12.0
495,Sa Đéc,Đồng Tháp,thành phố,,106198.0,591.0,1.797,9.0
496,Sa Pa,Lào Cai,thị xã,,81857.0,6814.0,120.0,16.0
497,Sa Thầy,Kon Tum,,1978.0,49914.0,14317.0,35.0,11.0
498,Sầm Sơn,Thanh Hóa,thành phố,,109208.0,449.0,2.432,11.0
499,Si Ma Cai,Lào Cai,,1966.0,37490.0,2349.0,160.0,10.0
500,Sìn Hồ,Lai Châu,,,83643.0,15270.0,55.0,22.0
501,Sóc Sơn,Hà Nội,,1977.0,343432.0,3048.0,1.127,26.0
502,Sóc Trăng,Sóc Trăng,thành phố,,137305.0,760.0,1.807,9.0
503,Sơn Động,Bắc Giang,,1909.0,76106.0,8602.0,88.0,17.0
504,Sơn Dương,Tuyên Quang,,,183600.0,7878.0,233.0,30.0
505,Sơn Hà,Quảng Ngãi,,,78377.0,7521.0,104.0,14.0
506,Sơn Hòa,Phú Yên,,1899.0,59497.0,9378.0,63.0,14.0
507,Sơn La,Sơn La,thành phố,,106052.0,3235.0,328.0,12.0
508,Sơn Tây,Hà Nội,thị xã,,145856.0,1174.0,1.242,13.0
509,Sơn Tây,Quảng Ngãi,,1965.0,21174.0,3815.0,56.0,9.0
510,Sơn Tịnh,Quảng Ngãi,,1890.0,95843.0,2431.0,394.0,11.0
511,Sơn Trà,Đà Nẵng,quận,,157415.0,634.0,2.483,6.0
512,Sông Cầu,Phú Yên,thị xã,,99432.0,4928.0,202.0,13.0
513,Sông Công,Thái Nguyên,thành phố,,69382.0,967.0,717.0,10.0
514,Sông Hinh,Phú Yên,,,51816.0,8932.0,58.0,11.0
515,Sông Lô,Vĩnh Phúc,,2008.0,98738.0,1499.0,659.0,14.0
516,Sông Mã,Sơn La,,1953.0,154224.0,16399.0,94.0,19.0
517,Sốp Cộp,Sơn La,,2003.0,50215.0,14734.0,34.0,8.0
518,Tam Bình,Vĩnh Long,,1916.0,151520.0,2907.0,521.0,16.0
519,Tam Đảo,Vĩnh Phúc,,2003.0,83931.0,2347.0,358.0,9.0
520,Tam Điệp,Ninh Bình,thành phố,,62866.0,1049.0,599.0,9.0
521,Tam Dương,Vĩnh Phúc,,,114391.0,1083.0,1.056,12.0
522,Tam Đường,Lai Châu,,2002.0,52470.0,6629.0,79.0,13.0
523,Tam Kỳ,Quảng Nam,thành phố,,122374.0,940.0,1.302,12.0
524,Tam Nông,Đồng Tháp,,,99995.0,4750.0,211.0,12.0
525,Tam Nông,Phú Thọ,,,87931.0,1556.0,565.0,12.0
526,Tân An,Long An,thành phố,,145120.0,817.0,1.776,13.0
527,Tân Biên,Tây Ninh,,,102190.0,8610.0,119.0,10.0
528,Tân Bình,Thành phố Hồ Chí Minh,quận,,474792.0,224.0,21.196,15.0
529,Tân Châu,An Giang,thị xã,,141211.0,1764.0,801.0,14.0
530,Tân Châu,Tây Ninh,,1989.0,134743.0,11032.0,122.0,12.0
531,Tân Hiệp,Kiên Giang,,,125459.0,4229.0,297.0,11.0
532,Tân Hồng,Đồng Tháp,,1989.0,75456.0,3110.0,243.0,9.0
533,Tân Hưng,Long An,,1994.0,47651.0,5019.0,95.0,12.0
534,Tân Kỳ,Nghệ An,,1963.0,147257.0,7292.0,202.0,20.0
535,Tân Lạc,Hòa Bình,,1957.0,86889.0,5320.0,163.0,16.0
536,Tân Phú,Thành phố Hồ Chí Minh,quận,,485348.0,161.0,30.146,11.0
537,Tân Phú,Đồng Nai,,1975.0,207968.0,77492.0,268.0,16.0
538,Tân Phú Đông,Tiền Giang,,2008.0,42078.0,2231.0,189.0,6.0
539,Tân Phước,Tiền Giang,,1994.0,65331.0,3301.0,198.0,12.0
540,Tân Sơn,Phú Thọ,,2007.0,85731.0,6886.0,125.0,17.0
541,Tân Thạnh,Long An,,1980.0,77537.0,4229.0,183.0,13.0
542,Tân Trụ,Long An,,1952.0,66502.0,1064.0,625.0,10.0
543,Tân Uyên,Bình Dương,thành phố,,370512.0,1918.0,1.932,12.0
544,Tân Uyên,Lai Châu,,2008.0,58104.0,8973.0,65.0,10.0
545,Tân Yên,Bắc Giang,,1957.0,177265.0,2083.0,851.0,19.0
546,Tánh Linh,Bình Thuận,,1983.0,98516.0,11986.0,82.0,13.0
547,Tây Giang,Quảng Nam,,2003.0,20005.0,9137.0,22.0,10.0
548,Tây Hồ,Hà Nội,quận,,160495.0,244.0,6.578,8.0
549,Tây Hòa,Phú Yên,,2005.0,110983.0,6237.0,178.0,11.0
550,Tây Ninh,Tây Ninh,thành phố,,133805.0,1400.0,956.0,10.0
551,Tây Sơn,Bình Định,,1975.0,115968.0,6922.0,168.0,15.0
552,Thạch An,Cao Bằng,,,29820.0,6910.0,43.0,14.0
553,Thạch Hà,Hà Tĩnh,,,219391.0,4713.0,1.07,22.0
554,Thạch Thành,Thanh Hóa,,,144343.0,5592.0,258.0,24.0
555,Thạch Thất,Hà Nội,,,216554.0,1874.0,1.156,20.0
556,Thái Bình,Thái Bình,thành phố,,206037.0,681.0,3.026,19.0
557,Thái Hòa,Nghệ An,thị xã,,66127.0,1348.0,491.0,9.0
558,Thái Nguyên,Thái Nguyên,thành phố,,340403.0,2229.0,1.527,32.0
559,Thái Thụy,Thái Bình,,1969.0,255222.0,2684.0,951.0,36.0
560,Than Uyên,Lai Châu,,1909.0,67550.0,7925.0,85.0,12.0
561,Thăng Bình,Quảng Nam,,1906.0,173726.0,4124.0,421.0,20.0
562,Thanh Ba,Phú Thọ,,,115470.0,1947.0,593.0,19.0
563,Thanh Bình,Đồng Tháp,,1957.0,134903.0,3419.0,395.0,13.0
564,Thanh Chương,Nghệ An,,,240808.0,11304.0,213.0,29.0
565,Thanh Hà,Hải Dương,,,136858.0,1407.0,973.0,16.0
566,Thanh Hóa,Thanh Hóa,thành phố,,436833.0,2283.0,3.403,47.0
567,Thạnh Hóa,Long An,,1989.0,56074.0,4679.0,120.0,11.0
568,Thanh Khê,Đà Nẵng,quận,,236754.0,105.0,22.548,6.0
569,Thanh Liêm,Hà Nam,,,118569.0,1649.0,719.0,16.0
570,Thanh Miện,Hải Dương,,,137537.0,1235.0,1.114,17.0
571,Thanh Oai,Hà Nội,,,211029.0,1239.0,1.703,20.0
572,Thạnh Phú,Bến Tre,,,127841.0,4265.0,300.0,18.0
573,Thanh Sơn,Phú Thọ,,1833.0,133132.0,6211.0,214.0,23.0
574,Thanh Thủy,Phú Thọ,,1833.0,84622.0,1257.0,673.0,11.0
575,Thanh Trì,Hà Nội,,,275745.0,635.0,4.342,16.0
576,Thạnh Trị,Sóc Trăng,,,73596.0,2875.0,256.0,10.0
577,Thanh Xuân,Hà Nội,quận,,293524.0,91.0,32.255,9.0
578,Tháp Mười,Đồng Tháp,,1981.0,131791.0,5300.0,249.0,13.0
579,Thiệu Hóa,Thanh Hóa,,1815.0,160732.0,1599.0,1.005,24.0
580,Thọ Xuân,Thanh Hóa,,,195998.0,2923.0,671.0,30.0
581,Thoại Sơn,An Giang,,1979.0,163427.0,4708.0,347.0,17.0
582,Thới Bình,Cà Mau,,1944.0,135892.0,6364.0,214.0,12.0
583,Thới Lai,Cần Thơ,,2008.0,109684.0,2669.0,411.0,13.0
584,Thống Nhất,Đồng Nai,,1973.0,200083.0,24853.0,805.0,10.0
585,Thốt Nốt,Cần Thơ,quận,,155360.0,1220.0,1.273,9.0
586,Thủ Dầu Một,Bình Dương,thành phố,,321607.0,1189.0,2.705,14.0
587,Thủ Đức,Thành phố Hồ Chí Minh,thành phố,,1013795.0,2116.0,4.791,34.0
588,Thủ Thừa,Long An,,1922.0,98333.0,2991.0,329.0,12.0
589,Thuận An,Bình Dương,thành phố,,508433.0,837.0,6.074,10.0
590,Thuận Bắc,Ninh Thuận,,2005.0,43322.0,3183.0,136.0,6.0
591,Thuận Châu,Sơn La,,,172763.0,15334.0,113.0,28.0
592,Thuận Hóa,Huế,quận,2025.0,297507.0,1394.0,2.134,19.0
593,Thuận Nam,Ninh Thuận,,2009.0,57006.0,5633.0,101.0,8.0
594,Thuận Thành,Bắc Ninh,thị xã,,199577.0,1178.0,1.694,18.0
595,Thường Tín,Hà Nội,,,254702.0,1304.0,1.953,27.0
596,Thường Xuân,Thanh Hóa,,,89131.0,11072.0,81.0,16.0
597,Thủy Nguyên,Hải Phòng,thành phố,,397570.0,2691.0,1.477,21.0
598,Tiên Du,Bắc Ninh,,,195993.0,956.0,2.049,14.0
599,Tiền Hải,Thái Bình,,,215535.0,2313.0,932.0,28.0
600,Tiên Lãng,Hải Phòng,,,154789.0,1934.0,800.0,19.0
601,Tiên Lữ,Hưng Yên,,,93118.0,786.0,1.185,11.0
602,Tiên Phước,Quảng Nam,,1916.0,66239.0,4546.0,146.0,14.0
603,Tiên Yên,Quảng Ninh,,,50830.0,6521.0,78.0,11.0
604,Tiểu Cần,Trà Vinh,,1928.0,107846.0,2272.0,475.0,11.0
605,Tịnh Biên,An Giang,thị xã,,143098.0,3546.0,306.0,14.0
606,Trà Bồng,Quảng Ngãi,,1915.0,53379.0,7603.0,70.0,16.0
607,Trà Cú,Trà Vinh,,1950.0,146329.0,3175.0,461.0,17.0
608,Trà Ôn,Vĩnh Long,,1921.0,129589.0,2672.0,485.0,13.0
609,Trà Vinh,Trà Vinh,thành phố,,112584.0,679.0,1.658,8.0
610,Trạm Tấu,Yên Bái,,1964.0,33962.0,7434.0,46.0,11.0
611,Trần Đề,Sóc Trăng,,2009.0,112463.0,3780.0,298.0,11.0
612,Trần Văn Thời,Cà Mau,,1950.0,197679.0,6975.0,283.0,13.0
613,Trấn Yên,Yên Bái,,,84675.0,6291.0,135.0,18.0
614,Trảng Bàng,Tây Ninh,thị xã,,161831.0,3401.0,476.0,10.0
615,Trảng Bom,Đồng Nai,,2003.0,349480.0,32724.0,1.068,17.0
616,Tràng Định,Lạng Sơn,,1836.0,59827.0,10167.0,59.0,20.0
617,Tri Tôn,An Giang,,1948.0,117431.0,6002.0,196.0,15.0
618,Triệu Phong,Quảng Trị,,,88852.0,3538.0,251.0,16.0
619,Triệu Sơn,Thanh Hóa,,1965.0,202386.0,2901.0,698.0,32.0
620,Trực Ninh,Nam Định,,,172557.0,1440.0,1.198,21.0
621,Trùng Khánh,Cao Bằng,,,70424.0,6880.0,102.0,21.0
622,Trường Sa,Khánh Hòa,huyện đảo,1982.0,93.0,4963.0,0.0,3.0
623,Tứ Kỳ,Hải Dương,,,152541.0,1653.0,923.0,20.0
624,Tu Mơ Rông,Kon Tum,,2005.0,27411.0,8593.0,32.0,11.0
625,Tư Nghĩa,Quảng Ngãi,,,128661.0,2063.0,624.0,13.0
626,Từ Sơn,Bắc Ninh,thành phố,,192554.0,611.0,3.152,12.0
627,Tủa Chùa,Điện Biên,,1955.0,57460.0,6853.0,84.0,12.0
628,Tuần Giáo,Điện Biên,,,87883.0,11378.0,77.0,19.0
629,Tương Dương,Nghệ An,,,77830.0,28113.0,28.0,17.0
630,Tuy An,Phú Yên,,1947.0,123167.0,4076.0,302.0,15.0
631,Tuy Đức,Đắk Nông,,2006.0,61312.0,11193.0,55.0,6.0
632,Tuy Hòa,Phú Yên,thành phố,,155921.0,1106.0,1.41,12.0
633,Tuy Phong,Bình Thuận,,1827.0,144800.0,7737.0,187.0,11.0
634,Tuy Phước,Bình Định,,,180191.0,2199.0,819.0,13.0
635,Tuyên Hóa,Quảng Bình,,,77754.0,11287.0,69.0,19.0
636,Tuyên Quang,Tuyên Quang,thành phố,,191118.0,1844.0,1.036,15.0
637,U Minh Thượng,Kiên Giang,,2007.0,63415.0,4327.0,147.0,6.0
638,U Minh,Cà Mau,,1978.0,100876.0,7718.0,131.0,8.0
639,Ứng Hòa,Hà Nội,,1814.0,210869.0,1882.0,1.12,20.0
640,Uông Bí,Quảng Ninh,thành phố,,120982.0,2555.0,474.0,10.0
641,Văn Bàn,Lào Cai,,,89167.0,14235.0,63.0,22.0
642,Vân Canh,Bình Định,,1947.0,27875.0,8042.0,35.0,7.0
643,Văn Chấn,Yên Bái,,,116804.0,11299.0,103.0,24.0
644,Vân Đồn,Quảng Ninh,huyện đảo,1994.0,46616.0,5818.0,80.0,12.0
645,Văn Giang,Hưng Yên,,,120799.0,718.0,1.682,11.0
646,Vân Hồ,Sơn La,,2013.0,62188.0,9829.0,63.0,14.0
647,Văn Lâm,Hưng Yên,,1890.0,133027.0,752.0,1.769,11.0
648,Văn Lãng,Lạng Sơn,,1964.0,49696.0,5674.0,88.0,17.0
649,Vạn Ninh,Khánh Hòa,,,130231.0,5618.0,232.0,13.0
650,Văn Quan,Lạng Sơn,,1964.0,54202.0,5476.0,99.0,15.0
652,Văn Yên,Yên Bái,,1964.0,129679.0,13903.0,93.0,25.0
653,Vị Thanh,Hậu Giang,thành phố,,73322.0,1191.0,616.0,9.0
653,Vị Thủy,Hậu Giang,,1999.0,90126.0,2302.0,392.0,10.0
654,Vị Xuyên,Hà Giang,,1833.0,110465.0,14784.0,75.0,24.0
655,Việt Trì,Phú Thọ,thành phố,,214777.0,1115.0,1.926,20.0
656,Việt Yên,Bắc Giang,thị xã,,229162.0,1710.0,1.34,17.0
657,Vĩnh Bảo,Hải Phòng,,1838.0,182835.0,1833.0,997.0,20.0
658,Vĩnh Châu,Sóc Trăng,thị xã,,164680.0,4687.0,351.0,10.0
659,Vĩnh Cửu,Đồng Nai,,1948.0,162016.0,108914.0,149.0,10.0
660,Vĩnh Hưng,Long An,,1978.0,50074.0,3781.0,132.0,10.0
661,Vĩnh Linh,Quảng Trị,,1990.0,87451.0,6172.0,142.0,18.0
662,Vĩnh Lộc,Thanh Hóa,,,86362.0,1577.0,548.0,13.0
663,Vĩnh Lợi,Bạc Liêu,,,101025.0,2510.0,402.0,8.0
